series_ticker,discovered_via,tier,engine,family,model_output,priced_by,map_notes,event_ticker,market_ticker,title,subtitle,market_status,yes_bid,yes_ask,mid,last_price,volume,open_interest,liquidity_$
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-SN,Will the Senegal win the 2026 Men's World Cup?,Senegal,active,0.003,0.004,0.0035,0.004,16236527.93,14095061.71,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-NO,Will the Norway win the 2026 Men's World Cup?,Norway,active,0.018,0.019,0.0185,0.019,21250166.13,16121835.82,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-MX,Will the Mexico win the 2026 Men's World Cup?,Mexico,active,0.047,0.052,0.0495,0.053,55579211.76,39677670.26,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-MA,Will the Morocco win the 2026 Men's World Cup?,Morocco,active,0.031,0.032,0.0315,0.032,26737782.36,18508093.79,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-CO,Will the Colombia win the 2026 Men's World Cup?,Colombia,active,0.027,0.028,0.0275,0.028,19655640.67,16921251.39,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-CH,Will the Switzerland win the 2026 Men's World Cup?,Switzerland,active,0.006,0.007,0.0065,0.007,14593491.54,12587201.82,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-CA,Will the Canada win the 2026 Men's World Cup?,Canada,active,0.002,0.003,0.0025,0.003,17761566.60,14993051.31,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-AT,Will the Austria win the 2026 Men's World Cup?,Austria,active,0.001,0.002,0.0015,0.002,15623270.85,13409657.29,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-US,Will the USA win the 2026 Men's World Cup?,USA,active,0.041,0.042,0.0415,0.042,59234340.96,43077418.43,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-PT,Will the Portugal win the 2026 Men's World Cup?,Portugal,active,0.064,0.065,0.0645,0.065,37023952.40,27093876.67,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-HR,Will the Croatia win the 2026 Men's World Cup?,Croatia,active,0.002,0.003,0.0025,0.003,19218074.18,16548518.62,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-GB,Will the England win the 2026 Men's World Cup?,England,active,0.082,0.083,0.0825,0.083,20137826.37,14732833.75,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-BR,Will the Brazil win the 2026 Men's World Cup?,Brazil,active,0.065,0.066,0.0655,0.066,20706888.58,16244001.70,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-BE,Will the Belgium win the 2026 Men's World Cup?,Belgium,active,0.008,0.009,0.0085,0.009,16681564.29,13168828.95,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-AR,Will the Argentina win the 2026 Men's World Cup?,Argentina,active,0.191,0.192,0.1915,0.192,31892822.02,24076460.54,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-FR,Will the France win the 2026 Men's World Cup?,France,active,0.344,0.345,0.3445,0.345,37459490.26,26585242.76,0.0000
KXMENWORLDCUP,catalog,B,bracket_sim,tournament_winner,P(team wins tournament),none,EDGE-CANDIDATE — sim computes it; untraded; frozen-strength skepticism,KXMENWORLDCUP-26,KXMENWORLDCUP-26-ES,Will the Spain win the 2026 Men's World Cup?,Spain,active,0.091,0.092,0.0915,0.092,23347462.33,16596694.40,0.0000
KXTRUMPATTEND,event_scan,D,none,off_field_novelty,—,none,OUT OF SCOPE — off-field,KXTRUMPATTEND,KXTRUMPATTEND,Will Donald J. Trump attend The 2026 FIFA World Cup Final?,Yes,active,0.85,0.87,0.86,0.87,576823.57,258766.03,0.0000
KXTRUMPWORLDCUP,event_scan,D,none,off_field_novelty,—,none,OUT OF SCOPE — off-field,KXTRUMPWORLDCUP-26-DJT,KXTRUMPWORLDCUP-26-DJT-3,How many 2026 FIFA World Cup matches will Donald Trump attend this season?,At least 3,active,0.05,0.06,0.055,0.05,43529.15,19823.87,0.0000
KXTRUMPWORLDCUP,event_scan,D,none,off_field_novelty,—,none,OUT OF SCOPE — off-field,KXTRUMPWORLDCUP-26-DJT,KXTRUMPWORLDCUP-26-DJT-2,How many 2026 FIFA World Cup matches will Donald Trump attend this season?,At least 2,active,0.36,0.37,0.365,0.37,41826.94,18544.27,0.0000
KXTRUMPWORLDCUP,event_scan,D,none,off_field_novelty,—,none,OUT OF SCOPE — off-field,KXTRUMPWORLDCUP-26-DJT,KXTRUMPWORLDCUP-26-DJT-1,How many 2026 FIFA World Cup matches will Donald Trump attend this season?,At least 1,active,0.92,0.93,0.925,0.93,74033.37,33383.48,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL04PARFRA,KXWC1H-26JUL04PARFRA-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.33,0.34,0.335,0.33,149.95,149.95,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL04PARFRA,KXWC1H-26JUL04PARFRA-PAR,Will Paraguay win the 1st Half?,Paraguay wins 1st Half,active,0.06,0.07,0.065,0.07,238.57,238.57,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL04PARFRA,KXWC1H-26JUL04PARFRA-FRA,Will France win the 1st Half?,France wins 1st Half,active,0.61,0.62,0.615,0.62,2594.95,2594.95,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL05BRANOR,KXWC1H-26JUL05BRANOR-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.42,0.43,0.425,0.42,27.70,27.70,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL05BRANOR,KXWC1H-26JUL05BRANOR-NOR,Will Norway win the 1st Half?,Norway wins 1st Half,active,0.19,0.2,0.195,0.2,532.88,485.54,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL05BRANOR,KXWC1H-26JUL05BRANOR-BRA,Will Brazil win the 1st Half?,Brazil wins 1st Half,active,0.37,0.38,0.375,0.39,235.46,235.46,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL04CANMAR,KXWC1H-26JUL04CANMAR-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.44,0.45,0.445,0.44,150.26,114.00,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL04CANMAR,KXWC1H-26JUL04CANMAR-MAR,Will Morocco win the 1st Half?,Morocco wins 1st Half,active,0.38,0.39,0.385,0.39,4206.59,4206.59,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL04CANMAR,KXWC1H-26JUL04CANMAR-CAN,Will Canada win the 1st Half?,Canada wins 1st Half,active,0.17,0.18,0.175,0.18,1397.99,1397.99,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL02ESPAUT,KXWC1H-26JUL02ESPAUT-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.36,0.37,0.365,0.37,323.21,294.33,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL02ESPAUT,KXWC1H-26JUL02ESPAUT-ESP,Will Spain win the 1st Half?,Spain wins 1st Half,active,0.54,0.55,0.545,0.55,3262.89,2919.20,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL02ESPAUT,KXWC1H-26JUL02ESPAUT-AUT,Will Austria win the 1st Half?,Austria wins 1st Half,active,0.09,0.1,0.095,0.1,1800.28,1751.13,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL02SUIDZA,KXWC1H-26JUL02SUIDZA-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.44,0.45,0.445,0.45,179.29,158.15,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL02SUIDZA,KXWC1H-26JUL02SUIDZA-SUI,Will Switzerland win the 1st Half?,Switzerland wins 1st Half,active,0.35,0.36,0.355,0.36,600.71,600.71,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL02SUIDZA,KXWC1H-26JUL02SUIDZA-DZA,Will Algeria win the 1st Half?,Algeria wins 1st Half,active,0.2,0.21,0.205,0.21,274.56,272.56,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL01ENGCOD,KXWC1H-26JUL01ENGCOD-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.37,0.38,0.375,0.38,33361.44,31137.72,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL01ENGCOD,KXWC1H-26JUL01ENGCOD-ENG,Will England win the 1st Half?,England wins 1st Half,active,0.56,0.57,0.565,0.57,103251.49,100452.13,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL01ENGCOD,KXWC1H-26JUL01ENGCOD-COD,Will Congo DR win the 1st Half?,Congo DR wins 1st Half,active,0.07,0.08,0.075,0.08,75478.99,68133.74,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL01BELSEN,KXWC1H-26JUL01BELSEN-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.45,0.46,0.455,0.46,4071.33,3555.37,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL01BELSEN,KXWC1H-26JUL01BELSEN-SEN,Will Senegal win the 1st Half?,Senegal wins 1st Half,active,0.22,0.23,0.225,0.23,7440.62,6781.41,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL01BELSEN,KXWC1H-26JUL01BELSEN-BEL,Will Belgium win the 1st Half?,Belgium wins 1st Half,active,0.34,0.35,0.345,0.35,11616.75,11605.83,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL02PORCRO,KXWC1H-26JUL02PORCRO-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.43,0.44,0.435,0.44,410.82,286.55,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL02PORCRO,KXWC1H-26JUL02PORCRO-POR,Will Portugal win the 1st Half?,Portugal wins 1st Half,active,0.39,0.4,0.395,0.4,1275.46,1252.04,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL02PORCRO,KXWC1H-26JUL02PORCRO-CRO,Will Croatia win the 1st Half?,Croatia wins 1st Half,active,0.17,0.18,0.175,0.18,811.43,783.59,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL03COLGHA,KXWC1H-26JUL03COLGHA-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.42,0.43,0.425,0.42,600.63,573.27,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL03COLGHA,KXWC1H-26JUL03COLGHA-GHA,Will Ghana win the 1st Half?,Ghana wins 1st Half,active,0.12,0.13,0.125,0.13,2418.57,2416.32,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL03COLGHA,KXWC1H-26JUL03COLGHA-COL,Will Colombia win the 1st Half?,Colombia wins 1st Half,active,0.45,0.46,0.455,0.46,1678.69,1587.23,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL03AUSEGY,KXWC1H-26JUL03AUSEGY-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.49,0.5,0.495,0.5,250.61,211.98,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL03AUSEGY,KXWC1H-26JUL03AUSEGY-EGY,Will Egypt win the 1st Half?,Egypt wins 1st Half,active,0.28,0.29,0.285,0.29,1003.90,1003.90,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL03AUSEGY,KXWC1H-26JUL03AUSEGY-AUS,Will Australia win the 1st Half?,Australia wins 1st Half,active,0.21,0.22,0.215,0.22,221.59,221.59,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL03ARGCPV,KXWC1H-26JUL03ARGCPV-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.29,0.3,0.295,0.3,3207.70,3069.84,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL03ARGCPV,KXWC1H-26JUL03ARGCPV-CPV,Will Cape Verde win the 1st Half?,Cape Verde wins 1st Half,active,0.06,0.07,0.065,0.07,13814.80,13159.98,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL03ARGCPV,KXWC1H-26JUL03ARGCPV-ARG,Will Argentina win the 1st Half?,Argentina wins 1st Half,active,0.63,0.64,0.635,0.63,12811.85,10452.29,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL01USABIH,KXWC1H-26JUL01USABIH-USA,Will USA win the 1st Half?,USA wins 1st Half,active,0.52,0.53,0.525,0.53,39759.10,35611.53,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL01USABIH,KXWC1H-26JUL01USABIH-TIE,Will Tie be the result of the 1st Half?,Tie 1st Half,active,0.37,0.38,0.375,0.38,4042.61,3888.56,0.0000
KXWC1H,catalog,C,goal_grid_half,first_half_result,P(1H result) — needs half-time lambda split,none,PRICEABLE w/ HT split (~45% of goals in 1H) calibration,KXWC1H-26JUL01USABIH,KXWC1H-26JUL01USABIH-BIH,Will Bosnia and Herzegovina win the 1st Half?,Bosnia and Herzegovina wins 1st Half,active,0.11,0.12,0.115,0.12,7337.32,6853.07,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL04PARFRA,KXWC1HBTTS-26JUL04PARFRA-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.14,0.18,0.16,0.0,0.00,0.00,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL05BRANOR,KXWC1HBTTS-26JUL05BRANOR-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.17,0.22,0.195,0.22,608.01,608.01,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL04CANMAR,KXWC1HBTTS-26JUL04CANMAR-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.14,0.18,0.16,0.18,30.00,30.00,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL02ESPAUT,KXWC1HBTTS-26JUL02ESPAUT-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.15,0.17,0.16,0.17,1795.19,1741.19,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL02SUIDZA,KXWC1HBTTS-26JUL02SUIDZA-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.16,0.19,0.175,0.2,26.00,24.00,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL01ENGCOD,KXWC1HBTTS-26JUL01ENGCOD-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.12,0.13,0.125,0.13,32718.87,27726.80,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL01BELSEN,KXWC1HBTTS-26JUL01BELSEN-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.21,0.22,0.215,0.22,21452.86,18979.99,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL02PORCRO,KXWC1HBTTS-26JUL02PORCRO-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.17,0.19,0.18,0.19,422.60,335.92,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL03COLGHA,KXWC1HBTTS-26JUL03COLGHA-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.13,0.16,0.145,0.15,2147.31,1967.31,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL03AUSEGY,KXWC1HBTTS-26JUL03AUSEGY-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.14,0.17,0.155,0.16,604.77,604.77,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL03ARGCPV,KXWC1HBTTS-26JUL03ARGCPV-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.13,0.15,0.14,0.15,12917.28,12362.76,0.0000
KXWC1HBTTS,catalog,C,goal_grid_half,first_half_btts,P(both score in 1H) — needs HT split,none,PRICEABLE w/ HT split calibration,KXWC1HBTTS-26JUL01USABIH,KXWC1HBTTS-26JUL01USABIH-BTTS,Will both teams score in the 1st Half?,1st Half: Both Teams To Score,active,0.18,0.2,0.19,0.2,7440.84,7143.00,0.0000
